ID,study,cushion.dominant,subordinate.species,family,association
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Gentiana sp. 1,Gentianaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Gentiana sp. 2,Gentianaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Gentiana verna L. subsp. verna,Gentianaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Gnaphalium hoppeanum W.D.J. Koch subsp. magellense (Fiori) Strid,Asteraceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Helianthemum oelandicum (L.) Dum. Cours. subsp. alpestre (Jacq.) Ces.,Cistaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,"Helictochloa praetutiana (Arcang.) Bartolucci, F. Conti, Peruzzi et Banfi subsp. praetutiana",Poaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Hieracium sp. 1,Asteraceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Hypericum richeri Vill. subsp. richeri,Clusiaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Juncus trifidus L. subsp. monanthos (Jacq.) Asch. et Graebn.,Juncaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Juniperus communis L.,Cupressaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Leontodon montanus Lam. subsp. breviscapus (DC.) Cavara et Grande,Asteraceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Leucopoa dimorpha (Guss.) H. Scholz et Foggi,Poaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Linaria alpina (L.) Mill.,Scrophulariaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Linum sp. 1,Linaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Luzula spicata (L.) DC. subsp. bulgarica (Chrtek et K_?sa) Gamisans,Juncaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Minuartia verna (L.) Hiern subsp. verna,Caryophyllaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Moss unidentified 1,,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Myosotis graui Selvi,Boraginaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Papaver alpinum L. subsp. ernesti-mayeri Markgr.,Papaveraceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Phyteuma orbiculare L.,Campanulaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Pinus mugo Turra subsp. mugo,Pinaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Plantago atrata Hoppe subsp. fuscescens (Jord.) Pilg.,Plantaginaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Poa alpina L. subsp. alpina,Poaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Poaceae unidentified 1,Poaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Poaceae unidentified 2,Poaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Poaceae unidentified 3,Poaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Potentilla crantzii (Crantz) Beck ex Fritsch subsp. crantzii,Rosaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Pulsatilla alpina (L.) Delarbre subsp. millefoliata (Bertol.) D.M. Moser,Ranunculaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Ranunculus breyninus Crantz,Ranunculaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Rhinanthus wettsteinii (Sterneck) So?,Scrophulariaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Rumex nebroides Campd.,Polygonaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Salix retusa L.,Salicaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Saxifraga oppositifolia L. subsp. speciosa (D_rfl. et Hayek) Engl. et Irmsh.,Saxifragaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Saxifraga paniculata Mill.,Saxifragaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Scabiosa sp. 1,Dipsacaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Sedum atratum L. subsp. atratum,Crassulaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Sesleria juncifolia Suffren subsp. juncifolia,Poaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Silene ciliata Pourr. subsp. graefferi (Guss.) Nyman,Caryophyllaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Species unidentified 1,,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Species unidentified 2,,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Species unidentified 3,,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Species unidentified 4,,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Species unidentified 5,,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Species unidentified 6,,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Species unidentified 7,,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Species unidentified 8,,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Species unidentified 9,,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Taraxacum apenninum (group),Asteraceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Thesium parnassi A. DC.,Santalaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Thymus praecox Opiz subsp. polytrichus ,Lamiaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Trifolium pratense L. subsp. semipurpureum (Strobl) Pignatti,Fabaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Trifolium sp. 1,Fabaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Trisetaria spicata (L.) Paunero subsp. ovatipaniculata ,Poaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Valeriana saliunca All.,Valerianaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Viola eugeniae Parl. subsp. eugeniae,,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Viola magellensis Porta et Rigo ex Strobl,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Antennaria alpina,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Astragalus alpinus,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Bistorta vivipara,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Calamagrostis lapponica,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Cardamine bellidifoila,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Carex bigelowii,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Carex lachenalii,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Cassiope hypnoides,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Cerastium arcticum,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Dryas octopetala,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Equisetum arvense,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Festuca ovina,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Festuca vivipara,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Gnaphalium supinum,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Hieracium alpinum,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Juncus trifidus,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Luzula arcuata,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Phyllodoce caerulea,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Potentilla crantzii,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Ranunculus glacialis,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Ranunculus nivalis,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Salix herbacea,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Salix polaris,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Saussurea alpina,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Sibbaldia procumbens,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Silene acaulis,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Taraxacum croceum,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Thalictrum alpinum,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Vaccinium vitis-idae,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Viola biflora,,both
3,doi: 10.1080/17550870902926504,Silene acaulis,Campanula uniflora,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Carex nigra,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Diapensia lapponica,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Erigeron uniflorus,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Euphrasia frigida,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Juncus biglumis,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Luzula wahlenbergii,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Minuartia biflora,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Pedicularis hirsuta,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Salix hastata,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Vaccinium uliginosum,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Veronica alpina var. alpina,,open
3,doi: 10.1080/17550870902926504,Silene acaulis,Anthoxantum odoratum,,cushion
3,doi: 10.1080/17550870902926504,Silene acaulis,Cerastium alpinum var. lanatum,,cushion
3,doi: 10.1080/17550870902926504,Silene acaulis,Luzula spicata,,cushion
3,doi: 10.1080/17550870902926504,Silene acaulis,Poa alpina,,cushion
3,doi: 10.1080/17550870902926504,Silene acaulis,Trisetum spicatum,,cushion
